date,all,long,short,net
2011-10-25,443723,182146,-52425,129721
2011-11-01,442435,183149,-43204,139945
2011-11-08,464982,200186,-44479,155707
2011-11-15,470490,205417,-46203,159214
2011-11-22,457070,194066,-33096,160970
2011-11-29,423176,186031,-31238,154793
2011-12-06,422956,192752,-33041,159711
2011-12-13,427699,184468,-33965,150503
2011-12-20,423465,172973,-39037,133936
2011-12-27,418945,167413,-36625,130788
2012-01-03,423275,169339,-38368,130971
2012-01-10,417923,166262,-33502,132760
2012-01-17,432838,167373,-31344,136029
2012-01-24,427032,173479,-31256,142223
2012-01-31,425133,197478,-26119,171359
2012-02-07,436061,207620,-30113,177507
2012-02-14,431164,200332,-32912,167420
2012-02-21,456676,214343,-33382,180961
2012-02-28,479044,231050,-37830,193220
2012-03-06,443249,198112,-34847,163265
2012-03-13,442319,190477,-39571,150906
2012-03-20,431039,175009,-43546,131463
2012-03-27,417304,182369,-34548,147821
2012-04-03,407761,175592,-33827,141765
2012-04-10,403989,170996,-34343,136653
2012-04-17,398526,168700,-26695,142005
2012-04-24,395389,165003,-30009,134994
2012-05-01,411972,169568,-29175,140393
2012-05-08,417798,166130,-42827,123303
2012-05-15,422091,164051,-49909,114142
2012-05-22,435706,169551,-54400,115151
2012-05-29,419991,167439,-56727,110712
2012-06-05,423941,183962,-55098,128864
2012-06-12,412244,181259,-48944,132315
2012-06-19,418492,184393,-47989,136404
2012-06-26,413618,174589,-51970,122619
2012-07-03,425068,187263,-50048,137215
2012-07-10,429854,182156,-55921,126235
2012-07-17,431317,180474,-51515,128959
2012-07-24,420296,166085,-53108,112977
2012-07-31,403403,171331,-45267,126064
2012-08-07,388254,163082,-47582,115500
2012-08-14,388187,161435,-47131,114304
2012-08-21,398747,170780,-40096,130684
2012-08-28,426559,194680,-36189,158491
2012-09-04,444489,204945,-34481,170464
2012-09-11,460531,214403,-32387,182016
2012-09-18,478609,224988,-33873,191115
2012-09-25,489516,233994,-30098,203896
2012-10-02,480908,239434,-31108,208326
2012-10-09,484359,247401,-35452,211949
2012-10-16,462826,232988,-38968,194020
2012-10-23,455836,222095,-40052,182043
2012-10-30,454742,207532,-37310,170222
2012-11-06,447154,196504,-36331,160173
2012-11-13,459761,207847,-36253,171594
2012-11-20,474129,217433,-36618,180815
2012-11-27,479373,228431,-28024,200407
2012-12-04,434416,202177,-36441,165736
2012-12-11,433586,201955,-38256,163699
2012-12-18,435742,202641,-44860,157781
2012-12-24,426300,200436,-50340,150096
2012-12-31,427991,198660,-50141,148519
2013-01-08,441304,193869,-51061,142808
2013-01-15,447773,192955,-47839,145116
2013-01-22,461369,195795,-43898,151897
2013-01-29,430718,181103,-54155,126948
2013-02-05,423982,192806,-55341,137465
2013-02-12,435088,193941,-67106,126835
2013-02-19,447290,195870,-92219,103651
2013-02-26,433858,201956,-85357,116599
2013-03-05,434586,195248,-87661,107587
2013-03-12,445651,201617,-87110,114507
2013-03-19,440712,208895,-73285,135610
2013-03-26,419727,200389,-67943,132446
2013-04-02,417176,202634,-82428,120206
2013-04-09,416513,203812,-84453,119359
2013-04-16,413083,204677,-75795,128882
2013-04-23,415074,197188,-92933,104255
2013-04-30,421087,193310,-96258,97052
2013-05-07,437931,189343,-99920,89423
2013-05-14,443806,186921,-103195,83726
2013-05-21,446087,189401,-109142,80259
2013-05-28,411001,172565,-115686,56879
2013-06-04,373061,170971,-109771,61200
2013-06-11,373844,174015,-115010,59005
2013-06-18,377106,166771,-123079,43692
2013-06-25,390647,164901,-130749,34152
2013-07-02,410399,158712,-137961,20751
2013-07-09,431574,160214,-143657,16557
2013-07-16,440283,156571,-133109,23462
2013-07-23,434750,161197,-127006,34191
2013-07-30,397035,154519,-126153,28366
2013-08-06,396062,153812,-102177,51635
2013-08-13,390547,148524,-94598,53926
2013-08-20,385410,151348,-90952,60396
2013-08-27,384102,150074,-71785,78289
2013-09-03,388584,151951,-73760,78191
2013-09-10,384164,141506,-72782,68724
2013-09-17,384592,138956,-80160,58796
2013-09-24,378216,140468,-73329,67139
2013-10-01,374151,141541,-68494,73047
2013-10-08,370406,140207,-57890,82317
2013-10-15,381727,139663,-77730,61933
2013-10-22,390369,147835,-71170,76665
2013-10-29,387166,153409,-53173,100236
2013-11-05,386796,149031,-57895,91136
2013-11-12,403840,144062,-82710,61352
2013-11-19,397590,140853,-92733,48120
2013-11-26,394432,133414,-106859,26555
2013-12-03,386436,134546,-111855,22691
2013-12-10,377313,133866,-107486,26380
2013-12-17,385432,133068,-107164,25904
2013-12-24,384974,135390,-108051,27339
2013-12-31,379550,137182,-104959,32223
2014-01-07,383021,139244,-100357,38887
2014-01-14,415426,145857,-101844,44013
2014-01-21,410959,146018,-99435,46583
2014-01-28,382739,150158,-83817,66341
2014-02-04,368279,147754,-82815,64939
2014-02-11,376973,156786,-85585,71201
2014-02-18,390535,164478,-79847,84631
2014-02-25,387503,169870,-60406,109464
2014-03-04,393266,171404,-56238,115166
2014-03-11,415340,170482,-51592,118890
2014-03-18,420626,183324,-46510,136814
2014-03-25,398264,169083,-51766,117317
2014-04-01,363451,158152,-58007,100145
2014-04-08,365400,149693,-61094,88599
2014-04-15,369577,147432,-68140,79292
2014-04-22,372593,146880,-65047,81833
2014-04-29,378092,147769,-62542,85227
2014-05-06,404700,160982,-63026,97956
2014-05-13,397029,157176,-65542,91634
2014-05-20,399371,157398,-60907,96491
2014-05-27,397695,155615,-82224,73391
2014-06-03,382141,157332,-98181,59151
2014-06-10,378689,159567,-98440,61127
2014-06-17,379843,162052,-83757,78295
2014-06-24,392388,183433,-62574,120859
2014-07-01,401813,201287,-55262,146025
